"well","time_point","row","plate_column","mean_pixel_value","med_pixel_value","max_pixel_value","total_pixel_value","num_pixels","num_saturated","inducer","concentration_uM"
"E16",13,"E",16,0.0863289760348584,0.0862745098039216,0.0941176470588235,12.4313725490196,144,0,"",NA
"E16",14,"E",16,0.0868191721132898,0.0862745098039216,0.0941176470588235,12.5019607843137,144,0,"",NA
"E16",15,"E",16,0.0876906318082789,0.0862745098039216,0.0941176470588235,12.6274509803922,144,0,"",NA
"E16",16,"E",16,0.0889433551198257,0.0901960784313725,0.0980392156862745,12.8078431372549,144,0,"",NA
"E16",17,"E",16,0.0894335511982571,0.0901960784313725,0.0980392156862745,12.878431372549,144,0,"",NA
"E16",18,"E",16,0.0913671023965142,0.0901960784313725,0.0980392156862745,13.156862745098,144,0,"",NA
"E16",19,"E",16,0.0927832244008715,0.0941176470588235,0.101960784313725,13.3607843137255,144,0,"",NA
"E16",20,"E",16,0.094281045751634,0.0941176470588235,0.101960784313725,13.5764705882353,144,0,"",NA
"E16",21,"E",16,0.0959967320261438,0.0941176470588235,0.105882352941176,13.8235294117647,144,0,"",NA
"E16",22,"E",16,0.0981209150326797,0.0980392156862745,0.105882352941176,14.1294117647059,144,0,"",NA
"E16",23,"E",16,0.100735294117647,0.101960784313725,0.109803921568627,14.5058823529412,144,0,"",NA
"E16",24,"E",16,0.102832244008715,0.101960784313725,0.109803921568627,14.8078431372549,144,0,"",NA
"E16",25,"E",16,0.104901960784314,0.105882352941176,0.113725490196078,15.1058823529412,144,0,"",NA
"E16",26,"E",16,0.107352941176471,0.105882352941176,0.117647058823529,15.4588235294118,144,0,"",NA
"E16",27,"E",16,0.109722222222222,0.109803921568627,0.117647058823529,15.8,144,0,"",NA
"E16",28,"E",16,0.11266339869281,0.113725490196078,0.125490196078431,16.2235294117647,144,0,"",NA
"E16",29,"E",16,0.115141612200436,0.113725490196078,0.12156862745098,16.5803921568627,144,0,"",NA
"E16",30,"E",16,0.118436819172113,0.117647058823529,0.125490196078431,17.0549019607843,144,0,"",NA
"E16",31,"E",16,0.120915032679739,0.12156862745098,0.129411764705882,17.4117647058824,144,0,"",NA
"E16",32,"E",16,0.123856209150327,0.125490196078431,0.133333333333333,17.8352941176471,144,0,"",NA
"E16",33,"E",16,0.127805010893246,0.129411764705882,0.137254901960784,18.4039215686275,144,0,"",NA
"E16",34,"E",16,0.132107843137255,0.133333333333333,0.145098039215686,19.0235294117647,144,0,"",NA
"E16",35,"E",16,0.135375816993464,0.137254901960784,0.145098039215686,19.4941176470588,144,0,"",NA
"E16",36,"E",16,0.141448801742919,0.141176470588235,0.152941176470588,20.3686274509804,144,0,"",NA
"E16",37,"E",16,0.146623093681917,0.145098039215686,0.156862745098039,21.1137254901961,144,0,"",NA
